Symbol,Name,Sector,Market Cap
FAF,First American Financial Corp,Financials,Mid Cap
FFIN,First Financial Bankshares Inc,Financials,Mid Cap
FHN,First Horizon National Corp,Financials,Mid Cap
FR,First Industrial Realty Trust,Real Estate,Mid Cap
FSLR,First Solar,Information Technology,Mid Cap
FCFS,FirstCash,Financials,Mid Cap
FIVE,Five Below,Consumer Discretionary,Mid Cap
FLO,Flowers Foods Inc.,Consumer Staples,Mid Cap
FLS,Flowserve,Industrials,Mid Cap
FLR,Fluor Corp.,Industrials,Mid Cap
FNB,FNB Corporation,Financials,Mid Cap
FL,Foot Locker,Consumer Discretionary,Mid Cap
FOXF,Fox Factory,Consumer Discretionary,Mid Cap
FCN,FTI Consulting,Industrials,Mid Cap
FULT,Fulton Financial Corporation,Financials,Mid Cap
GATX,GATX Corp.,Industrials,Mid Cap
GNTX,Gentex Corp.,Consumer Discretionary,Mid Cap
GNW,Genworth Financial,Financials,Mid Cap
GBCI,Glacier Bancorp,Financials,Mid Cap
GMED,Globus Medical Inc.,Health Care,Mid Cap
GT,Goodyear Tire & Rubber,Consumer Discretionary,Mid Cap
GGG,Graco Inc.,Industrials,Mid Cap
GHC,Graham Holdings Company,Consumer Discretionary,Mid Cap
LOPE,Grand Canyon Education,Consumer Discretionary,Mid Cap
GEF,Greif Inc.,Materials,Mid Cap
GO,Grocery Outlet,Consumer Staples,Mid Cap
GRUB,Grubhub,Consumer Discretionary,Mid Cap
HRB,H&R Block Inc,Consumer Discretionary,Mid Cap
HAE,Haemonetics,Health Care,Mid Cap
HAIN,Hain Celestial Group,Consumer Staples,Mid Cap
HALO,Halozyme Therapeutics Inc.,Health Care,Mid Cap
HWC,Hancock Whitney Corp,Financials,Mid Cap
THG,Hanover Insurance Group Inc,Financials,Mid Cap
HOG,Harley-Davidson Inc.,Consumer Discretionary,Mid Cap
HE,Hawaiian Electric Industries,Utilities,Mid Cap
HR,Healthcare Realty Trust,Real Estate,Mid Cap
HCSG,Healthcare Services Group,Industrials,Mid Cap
HQY,HealthEquity,Health Care,Mid Cap
HELE,Helen of Troy Limited,Consumer Discretionary,Mid Cap
HXL,Hexcel Corp,Industrials,Mid Cap
HIW,Highwoods Properties,Real Estate,Mid Cap
HRC,Hillrom,Health Care,Mid Cap
HOMB,Home BancShares Inc,Financials,Mid Cap
HUBB,Hubbell Incorporated,Industrials,Mid Cap
HPP,Hudson Pacific Properties,Financials,Mid Cap
IAA,IAA Inc.,Industrials,Mid Cap
ICUI,ICU Medical,Health Care,Mid Cap
IDA,Idacorp Inc.,Utilities,Mid Cap
IIVI,II-VI,Information Technology,Mid Cap
NGVT,Ingevity Corp.,Materials,Mid Cap
INGR,Ingredion Inc,Consumer Staples,Mid Cap
NSP,Insperity Inc.,Industrials,Mid Cap
IART,Integra Lifesciences Holdings,Health Care,Mid Cap
IBKR,Interactive Brokers,Financials,Mid Cap
IBOC,Intl Bancshares Corp,Financials,Mid Cap
IRDM,Iridium Communications,Communication Services,Mid Cap
ITT,ITT Inc,Industrials,Mid Cap
JCOM,j2 Global Inc.,Information Technology,Mid Cap
JBL,Jabil Circuit Inc,Information Technology,Mid Cap
JACK,Jack in the Box Inc.,Consumer Discretionary,Mid Cap
JHG,Janus Henderson,Financials,Mid Cap
JAZZ,Jazz Pharmaceuticals plc,Health Care,Mid Cap
JBGS,JBG Smith Properties,Real Estate,Mid Cap
JEF,Jefferies Financial Group,Financials,Mid Cap
JBLU,JetBlue Airways Corp,Industrials,Mid Cap
JW.A,John Wiley & Sons,Communication Services,Mid Cap
JLL,Jones Lang Lasalle Inc,Real Estate,Mid Cap
KAR,KAR Auction Services,Industrials,Mid Cap
KBH,KB Home,Consumer Discretionary,Mid Cap
KBR,KBR Inc,Industrials,Mid Cap
KMPR,Kemper Corporation,Financials,Mid Cap
KMT,Kennametal Inc,Industrials,Mid Cap
KRC,Kilroy Realty Corp,Real Estate,Mid Cap
KNSL,Kinsale Capital Group Inc.,Financials,Mid Cap
